Employee_ID,Name,Working_Days,Target_Sales,Actual_Sales,Customer_Satisfaction_Score,Policy_Compliance,Low_Working_Days,Target_Not_Met,Low_Customer_Satisfaction,Non_Compliance_Reason,Month
97,Ahmed Khan,24,19357,10719,5.0,No,False,True,False,Target Not Met,July
98,Zain Chaudhry,18,18368,12435,2.7,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",April
99,Zain Iqbal,20,8137,15350,3.5,No,False,False,True,Low Customer Satisfaction,December
100,Zain Chaudhry,27,11985,7590,4.5,No,False,True,False,Target Not Met,May
101,Aisha Raza,29,5097,14064,2.7,No,False,False,True,Low Customer Satisfaction,April
102,Aisha Sheikh,16,16407,21576,3.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",May
103,Fatima Tariq,24,19191,21848,3.8,No,False,False,True,Low Customer Satisfaction,December
104,Ahmed Chaudhry,26,17722,4390,3.4,No,False,True,True,"Target Not Met, Low Customer Satisfaction",August
105,Aisha Javed,16,17924,16668,3.4,No,True,False,True,"Low Working Days, Low Customer Satisfaction",June
106,Ahmed Khan,24,8750,15569,3.1,No,False,False,True,Low Customer Satisfaction,January
107,Bilal Khan,28,16349,17029,3.8,No,False,False,True,Low Customer Satisfaction,May
108,Usman Sheikh,18,17875,17107,3.9,No,True,False,True,"Low Working Days, Low Customer Satisfaction",October
109,Zain Tariq,28,13535,6560,4.0,No,False,True,False,Target Not Met,August
110,Sara Raza,29,13174,9867,2.2,No,False,True,True,"Target Not Met, Low Customer Satisfaction",April
111,Ahmed Tariq,30,13103,19284,3.9,No,False,False,True,Low Customer Satisfaction,January
112,Bilal Khan,29,10413,5211,4.9,No,False,True,False,Target Not Met,September
113,Bilal Nadeem,22,19267,13121,3.6,No,False,True,True,"Target Not Met, Low Customer Satisfaction",April
114,Ali Khan,28,9666,5539,4.1,No,False,True,False,Target Not Met,December
115,Ali Javed,21,5610,21027,3.7,No,False,False,True,Low Customer Satisfaction,April
116,Fatima Javed,26,6727,12693,4.6,Yes,False,False,False,,May
117,Sara Javed,23,15482,12921,4.8,Yes,False,False,False,,January
118,Bilal Javed,28,6854,21667,2.6,No,False,False,True,Low Customer Satisfaction,April
119,Fatima Malik,22,15800,14310,3.3,No,False,False,True,Low Customer Satisfaction,June
120,Hassan Malik,19,10055,16744,3.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",February
121,Maira Raza,30,15271,8386,3.2,No,False,True,True,"Target Not Met, Low Customer Satisfaction",September
122,Maira Nadeem,27,19726,21303,2.4,No,False,False,True,Low Customer Satisfaction,October
123,Hassan Tariq,16,7324,16242,4.4,No,True,False,False,Low Working Days,August
124,Fatima Chaudhry,29,17819,18257,2.1,No,False,False,True,Low Customer Satisfaction,January
125,Ahmed Chaudhry,19,14369,12947,3.6,No,True,False,True,"Low Working Days, Low Customer Satisfaction",June
126,Fatima Iqbal,22,19718,17946,4.0,Yes,False,False,False,,December
127,Aisha Malik,24,14283,9930,2.6,No,False,True,True,"Target Not Met, Low Customer Satisfaction",November
128,Hassan Malik,23,19189,9402,4.7,No,False,True,False,Target Not Met,February
129,Hassan Javed,26,18171,20017,4.5,Yes,False,False,False,,June
130,Aisha Iqbal,26,19549,4507,3.4,No,False,True,True,"Target Not Met, Low Customer Satisfaction",November
131,Usman Butt,26,10774,5436,3.2,No,False,True,True,"Target Not Met, Low Customer Satisfaction",January
132,Sara Tariq,27,11519,15618,2.7,No,False,False,True,Low Customer Satisfaction,July
133,Sara Javed,23,15983,12750,4.2,No,False,True,False,Target Not Met,August
134,Usman Javed,27,19548,20122,2.4,No,False,False,True,Low Customer Satisfaction,April
135,Maira Sheikh,29,19414,11354,4.0,No,False,True,False,Target Not Met,August
136,Bilal Javed,27,6749,15294,4.5,Yes,False,False,False,,November
137,Bilal Sheikh,15,15867,17840,2.7,No,True,False,True,"Low Working Days, Low Customer Satisfaction",January
138,Ahmed Javed,23,19939,8399,4.6,No,False,True,False,Target Not Met,July
139,Fatima Khan,21,5781,9037,2.1,No,False,False,True,Low Customer Satisfaction,October
140,Usman Iqbal,23,12548,19848,4.7,Yes,False,False,False,,May
141,Usman Malik,22,16240,7715,2.4,No,False,True,True,"Target Not Met, Low Customer Satisfaction",August
142,Ali Sheikh,15,11823,18877,3.9,No,True,False,True,"Low Working Days, Low Customer Satisfaction",October
143,Ahmed Iqbal,26,7105,11837,2.8,No,False,False,True,Low Customer Satisfaction,May
144,Usman Raza,22,8867,5301,4.5,No,False,True,False,Target Not Met,September
145,Bilal Butt,22,12193,11370,3.5,No,False,False,True,Low Customer Satisfaction,November
146,Sara Nadeem,29,9976,10411,2.4,No,False,False,True,Low Customer Satisfaction,August
147,Sara Butt,25,17734,10365,3.7,No,False,True,True,"Target Not Met, Low Customer Satisfaction",May
148,Usman Chaudhry,17,7113,19449,3.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",January
149,Bilal Khan,15,10879,4692,4.0,No,True,True,False,"Low Working Days, Target Not Met",March
150,Fatima Malik,22,18565,5478,4.6,No,False,True,False,Target Not Met,September
151,Bilal Sheikh,17,8970,10396,3.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",May
152,Zain Javed,17,15183,12448,2.9,No,True,False,True,"Low Working Days, Low Customer Satisfaction",January
153,Ali Tariq,15,14259,14622,2.0,No,True,False,True,"Low Working Days, Low Customer Satisfaction",April
154,Zain Khan,25,12264,20825,3.7,No,False,False,True,Low Customer Satisfaction,April
155,Hassan Malik,19,6577,14073,3.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",November
156,Hassan Sheikh,24,14203,6646,3.1,No,False,True,True,"Target Not Met, Low Customer Satisfaction",December
157,Bilal Javed,21,7274,9209,2.5,No,False,False,True,Low Customer Satisfaction,June
158,Usman Raza,24,9869,10533,3.3,No,False,False,True,Low Customer Satisfaction,February
159,Bilal Malik,23,15006,11211,5.0,No,False,True,False,Target Not Met,July
160,Ahmed Khan,26,11744,13927,2.9,No,False,False,True,Low Customer Satisfaction,June
161,Maira Tariq,21,7426,15927,3.8,No,False,False,True,Low Customer Satisfaction,February
162,Hassan Khan,23,18489,13316,4.3,No,False,True,False,Target Not Met,May
163,Sara Iqbal,22,10546,16177,4.2,Yes,False,False,False,,November
164,Ahmed Butt,26,11852,14846,3.0,No,False,False,True,Low Customer Satisfaction,June
165,Sara Iqbal,16,17594,11933,3.8,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",October
166,Maira Butt,15,18066,9476,4.6,No,True,True,False,"Low Working Days, Target Not Met",February
167,Ali Butt,30,7551,17853,2.0,No,False,False,True,Low Customer Satisfaction,August
168,Aisha Nadeem,21,11411,11928,3.3,No,False,False,True,Low Customer Satisfaction,December
169,Ali Khan,21,16849,6080,2.7,No,False,True,True,"Target Not Met, Low Customer Satisfaction",December
170,Ali Javed,28,5007,10089,3.2,No,False,False,True,Low Customer Satisfaction,May
171,Sara Iqbal,22,13087,11797,3.2,No,False,False,True,Low Customer Satisfaction,April
172,Hassan Malik,19,7555,21245,4.2,No,True,False,False,Low Working Days,July
173,Ahmed Sheikh,17,5475,12346,2.3,No,True,False,True,"Low Working Days, Low Customer Satisfaction",July
174,Aisha Sheikh,26,10416,4904,3.5,No,False,True,True,"Target Not Met, Low Customer Satisfaction",May
175,Fatima Sheikh,22,15403,21653,3.7,No,False,False,True,Low Customer Satisfaction,March
176,Ahmed Nadeem,20,13676,20788,3.5,No,False,False,True,Low Customer Satisfaction,March
177,Usman Sheikh,25,12239,13974,4.2,Yes,False,False,False,,September
178,Maira Chaudhry,17,11710,5184,3.2,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",December
179,Fatima Tariq,15,10000,5725,4.8,No,True,True,False,"Low Working Days, Target Not Met",April
180,Zain Javed,17,9654,15380,3.4,No,True,False,True,"Low Working Days, Low Customer Satisfaction",January
181,Bilal Javed,19,13078,17057,3.7,No,True,False,True,"Low Working Days, Low Customer Satisfaction",July
182,Bilal Raza,29,11063,9606,4.5,Yes,False,False,False,,May
183,Zain Chaudhry,28,7285,7956,2.8,No,False,False,True,Low Customer Satisfaction,May
184,Hassan Nadeem,17,10223,20555,2.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",July
185,Aisha Javed,15,18521,20081,4.1,No,True,False,False,Low Working Days,December
186,Bilal Nadeem,19,19889,4421,3.4,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",February
187,Ali Malik,24,11971,9540,4.7,No,False,True,False,Target Not Met,August
188,Zain Malik,21,17755,20288,4.9,Yes,False,False,False,,August
189,Zain Khan,29,8525,19966,3.2,No,False,False,True,Low Customer Satisfaction,March
190,Aisha Raza,28,16531,19882,3.2,No,False,False,True,Low Customer Satisfaction,January
191,Usman Nadeem,21,19721,8675,3.2,No,False,True,True,"Target Not Met, Low Customer Satisfaction",October
192,Maira Sheikh,25,7822,13082,3.0,No,False,False,True,Low Customer Satisfaction,November
193,Hassan Chaudhry,23,9943,17009,4.3,Yes,False,False,False,,September
194,Zain Iqbal,29,11530,10748,4.3,Yes,False,False,False,,May
195,Hassan Iqbal,29,16116,10103,3.4,No,False,True,True,"Target Not Met, Low Customer Satisfaction",September
196,Fatima Malik,24,5258,21857,2.1,No,False,False,True,Low Customer Satisfaction,April
197,Zain Chaudhry,24,5282,15348,2.9,No,False,False,True,Low Customer Satisfaction,September
198,Maira Nadeem,26,18937,13782,2.9,No,False,True,True,"Target Not Met, Low Customer Satisfaction",March
199,Zain Raza,27,6898,9882,4.4,Yes,False,False,False,,October
200,Aisha Sheikh,17,9135,9798,2.3,No,True,False,True,"Low Working Days, Low Customer Satisfaction",June
201,Maira Nadeem,29,11629,13627,4.4,Yes,False,False,False,,August
202,Fatima Khan,30,16168,12415,4.0,No,False,True,False,Target Not Met,September
203,Bilal Raza,21,15459,16466,4.2,Yes,False,False,False,,December
204,Hassan Butt,15,8200,13846,3.3,No,True,False,True,"Low Working Days, Low Customer Satisfaction",March
205,Fatima Butt,18,10110,16720,4.0,No,True,False,False,Low Working Days,August
206,Bilal Chaudhry,27,12167,13145,3.8,No,False,False,True,Low Customer Satisfaction,July
207,Maira Nadeem,30,5612,8524,4.3,Yes,False,False,False,,April
208,Zain Butt,18,19203,10559,3.3,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",July
209,Hassan Chaudhry,28,5687,11620,3.4,No,False,False,True,Low Customer Satisfaction,November
210,Hassan Iqbal,19,8690,7124,3.9,No,True,False,True,"Low Working Days, Low Customer Satisfaction",August
211,Aisha Javed,21,13804,12671,2.3,No,False,False,True,Low Customer Satisfaction,March
212,Aisha Javed,21,7307,15706,3.3,No,False,False,True,Low Customer Satisfaction,December
213,Sara Chaudhry,27,12133,21737,4.9,Yes,False,False,False,,May
214,Aisha Tariq,29,16205,16070,2.1,No,False,False,True,Low Customer Satisfaction,June
215,Fatima Tariq,25,11509,12134,2.9,No,False,False,True,Low Customer Satisfaction,June
216,Bilal Sheikh,27,14973,4924,2.9,No,False,True,True,"Target Not Met, Low Customer Satisfaction",January
217,Bilal Nadeem,18,10906,9506,3.9,No,True,False,True,"Low Working Days, Low Customer Satisfaction",August
218,Usman Raza,27,7591,17650,2.3,No,False,False,True,Low Customer Satisfaction,April
219,Sara Sheikh,30,15888,6395,3.9,No,False,True,True,"Target Not Met, Low Customer Satisfaction",June
220,Ahmed Iqbal,21,18835,19310,2.3,No,False,False,True,Low Customer Satisfaction,August
221,Ali Javed,25,19218,12226,2.3,No,False,True,True,"Target Not Met, Low Customer Satisfaction",March
222,Sara Chaudhry,17,17150,15781,4.2,No,True,False,False,Low Working Days,April
223,Maira Butt,20,12183,9515,3.0,No,False,True,True,"Target Not Met, Low Customer Satisfaction",August
224,Ali Chaudhry,26,10248,7365,4.9,No,False,True,False,Target Not Met,May
225,Aisha Iqbal,16,13766,20972,2.1,No,True,False,True,"Low Working Days, Low Customer Satisfaction",September
226,Sara Javed,24,15102,15410,3.3,No,False,False,True,Low Customer Satisfaction,October
227,Ali Raza,27,10108,13095,2.3,No,False,False,True,Low Customer Satisfaction,December
228,Ahmed Malik,28,8604,14361,3.1,No,False,False,True,Low Customer Satisfaction,December
229,Ahmed Nadeem,23,5669,12531,5.0,Yes,False,False,False,,April
230,Bilal Sheikh,19,9364,8270,4.7,No,True,False,False,Low Working Days,December
231,Fatima Raza,20,12329,13906,2.1,No,False,False,True,Low Customer Satisfaction,February
232,Fatima Chaudhry,26,6283,20940,3.7,No,False,False,True,Low Customer Satisfaction,September
233,Sara Butt,26,5923,15279,3.9,No,False,False,True,Low Customer Satisfaction,July
234,Maira Nadeem,26,6125,9452,2.6,No,False,False,True,Low Customer Satisfaction,November
235,Usman Sheikh,26,6529,10477,2.4,No,False,False,True,Low Customer Satisfaction,November
236,Usman Butt,18,19046,21400,4.7,No,True,False,False,Low Working Days,May
237,Fatima Sheikh,28,14786,10470,4.9,No,False,True,False,Target Not Met,September
238,Usman Iqbal,28,13438,6062,5.0,No,False,True,False,Target Not Met,January
239,Ahmed Nadeem,25,8711,13030,4.4,Yes,False,False,False,,January
240,Hassan Iqbal,30,13004,5813,4.0,No,False,True,False,Target Not Met,October
241,Ali Malik,24,14752,15671,3.0,No,False,False,True,Low Customer Satisfaction,November
242,Fatima Javed,21,11274,18308,2.5,No,False,False,True,Low Customer Satisfaction,May
243,Maira Butt,26,15592,6313,2.2,No,False,True,True,"Target Not Met, Low Customer Satisfaction",March
244,Sara Butt,23,15435,13706,4.1,Yes,False,False,False,,October
245,Ahmed Khan,21,8864,21615,4.4,Yes,False,False,False,,January
246,Bilal Khan,28,15131,13837,4.5,Yes,False,False,False,,June
247,Sara Javed,15,18217,9831,4.7,No,True,True,False,"Low Working Days, Target Not Met",April
248,Maira Nadeem,15,12833,8056,4.6,No,True,True,False,"Low Working Days, Target Not Met",January
249,Hassan Khan,23,16261,4305,5.0,No,False,True,False,Target Not Met,June
250,Sara Iqbal,25,11788,18347,2.7,No,False,False,True,Low Customer Satisfaction,June
251,Usman Chaudhry,28,5226,5689,4.3,Yes,False,False,False,,June
252,Ali Sheikh,23,16739,7917,3.8,No,False,True,True,"Target Not Met, Low Customer Satisfaction",July
253,Bilal Chaudhry,18,5264,6936,2.8,No,True,False,True,"Low Working Days, Low Customer Satisfaction",September
254,Fatima Chaudhry,27,14587,7862,4.9,No,False,True,False,Target Not Met,August
255,Sara Nadeem,23,16749,18506,4.7,Yes,False,False,False,,October
256,Fatima Nadeem,17,18745,18318,2.4,No,True,False,True,"Low Working Days, Low Customer Satisfaction",January
257,Maira Khan,21,5645,19300,2.1,No,False,False,True,Low Customer Satisfaction,January
258,Sara Nadeem,20,19546,9649,4.1,No,False,True,False,Target Not Met,May
259,Fatima Raza,22,12544,19674,3.8,No,False,False,True,Low Customer Satisfaction,March
260,Fatima Malik,25,18706,21726,4.8,Yes,False,False,False,,December
261,Bilal Malik,23,10569,9560,2.7,No,False,False,True,Low Customer Satisfaction,August
262,Ahmed Khan,28,7990,19451,2.3,No,False,False,True,Low Customer Satisfaction,October
263,Aisha Butt,19,18675,5079,2.8,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",July
264,Ali Chaudhry,15,15091,17983,2.1,No,True,False,True,"Low Working Days, Low Customer Satisfaction",April
265,Ali Chaudhry,17,7504,19327,2.1,No,True,False,True,"Low Working Days, Low Customer Satisfaction",February
266,Aisha Nadeem,24,15964,16755,4.7,Yes,False,False,False,,March
267,Ali Tariq,26,18537,11235,3.1,No,False,True,True,"Target Not Met, Low Customer Satisfaction",November
268,Maira Javed,22,18269,21197,3.2,No,False,False,True,Low Customer Satisfaction,August
269,Ali Chaudhry,29,14346,6031,2.1,No,False,True,True,"Target Not Met, Low Customer Satisfaction",April
270,Bilal Khan,25,5587,12514,2.8,No,False,False,True,Low Customer Satisfaction,May
271,Fatima Sheikh,20,17763,13095,4.4,No,False,True,False,Target Not Met,July
272,Ahmed Khan,30,15013,18287,3.8,No,False,False,True,Low Customer Satisfaction,July
273,Usman Javed,30,14177,9911,4.3,No,False,True,False,Target Not Met,December
274,Usman Nadeem,22,9079,15695,3.3,No,False,False,True,Low Customer Satisfaction,May
275,Maira Malik,23,8348,7340,2.9,No,False,False,True,Low Customer Satisfaction,April
276,Ahmed Nadeem,18,11299,11876,3.4,No,True,False,True,"Low Working Days, Low Customer Satisfaction",January
277,Ali Raza,15,8831,19896,3.0,No,True,False,True,"Low Working Days, Low Customer Satisfaction",June
278,Ali Javed,28,14433,16435,4.5,Yes,False,False,False,,September
279,Maira Iqbal,15,13381,5141,2.9,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",June
280,Ahmed Iqbal,24,18728,13281,4.0,No,False,True,False,Target Not Met,February
281,Maira Sheikh,18,14172,6038,2.4,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",June
282,Maira Tariq,26,14890,8270,4.1,No,False,True,False,Target Not Met,January
283,Zain Tariq,28,6715,14046,4.7,Yes,False,False,False,,October
284,Bilal Iqbal,21,15785,8683,3.8,No,False,True,True,"Target Not Met, Low Customer Satisfaction",June
285,Aisha Javed,16,17328,20878,3.7,No,True,False,True,"Low Working Days, Low Customer Satisfaction",June
286,Fatima Butt,17,11450,11116,4.9,No,True,False,False,Low Working Days,July
287,Sara Tariq,15,18230,5784,3.9,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",January
288,Zain Javed,19,17625,7786,2.8,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",July
289,Hassan Butt,15,10433,13190,2.9,No,True,False,True,"Low Working Days, Low Customer Satisfaction",June
290,Aisha Sheikh,22,6098,9428,4.1,Yes,False,False,False,,August
291,Ahmed Khan,15,12096,10681,4.2,No,True,False,False,Low Working Days,June
292,Bilal Iqbal,25,7326,10893,2.9,No,False,False,True,Low Customer Satisfaction,April
293,Usman Butt,15,16439,16661,3.0,No,True,False,True,"Low Working Days, Low Customer Satisfaction",December
294,Hassan Iqbal,16,14087,18892,5.0,No,True,False,False,Low Working Days,April
295,Usman Khan,16,11416,13643,2.3,No,True,False,True,"Low Working Days, Low Customer Satisfaction",July
296,Zain Javed,26,11980,13943,3.2,No,False,False,True,Low Customer Satisfaction,September
297,Bilal Nadeem,20,11763,14472,2.2,No,False,False,True,Low Customer Satisfaction,May
298,Zain Tariq,21,6674,16992,4.5,Yes,False,False,False,,August
299,Fatima Nadeem,19,16101,15126,2.3,No,True,False,True,"Low Working Days, Low Customer Satisfaction",May
300,Ali Tariq,30,12950,10869,4.0,Yes,False,False,False,,May
301,Aisha Khan,15,14122,11669,2.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",September
302,Ahmed Iqbal,15,17576,15538,4.0,No,True,False,False,Low Working Days,December
303,Sara Sheikh,17,13915,14065,4.5,No,True,False,False,Low Working Days,July
